DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Ano 1º Sintoma(s)
Período:2014-2019
"UF de notificação";"Em Branco/ign";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";1;18;1;2;2;2;-;3;-;1;3;2;-;-;1;1;-;-;-;2;1;-;-;1;-;1;-;-;-;2;-;-;-;-;-;1;1;3;1;3;54;1977;2322;7860;2120;544;1021;15951
"12 Acre";-;34;1;-;1;1;1;-;-;4;-;3;-;3;7;3;3;3;3;4;2;5;1;2;4;3;1;4;4;1;3;3;-;2;3;6;1;-;1;3;38;28634;5861;2257;1932;7382;10063;56287
"13 Amazonas";-;11;-;-;1;1;1;-;-;3;1;1;2;-;1;-;1;3;1;3;1;-;1;2;1;1;3;-;3;2;1;1;-;2;1;3;-;2;1;1;69;6358;3649;7445;3890;2342;3858;27667
"14 Roraima";-;3;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;12;1134;1098;210;282;113;1605;4464
"15 Pará";-;41;2;3;3;2;2;6;5;5;6;4;4;4;1;2;3;5;6;4;4;7;4;2;5;3;4;2;6;5;2;2;3;2;2;5;-;10;7;4;77;4506;7927;10748;7789;3745;5460;40439
"16 Amapá";-;13;-;-;-;1;1;2;-;1;1;1;2;1;1;-;3;1;1;2;1;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;2;1;9;2227;3339;1842;918;766;211;9352
"17 Tocantins";-;40;1;2;4;3;3;4;6;-;4;5;2;-;3;3;3;4;4;1;2;2;4;4;5;-;1;2;5;4;2;3;3;3;1;2;4;4;3;3;103;3636;8045;7885;4915;3097;14152;41982
"21 Maranhão";1;57;4;4;4;5;3;8;5;4;6;2;7;4;1;6;7;3;8;3;4;5;2;4;8;8;5;3;5;6;5;4;4;14;5;2;1;8;12;8;30;2675;8069;23653;7130;2131;5568;49511
"22 Piauí";-;24;-;1;-;2;1;1;1;7;1;2;2;2;2;1;4;2;5;3;4;2;7;5;4;2;1;3;7;1;1;3;4;3;2;2;8;-;6;2;29;7672;7736;5255;5289;1936;8024;36069
"23 Ceará";4;113;7;8;6;9;3;5;13;13;7;4;6;14;11;12;17;18;9;12;12;4;20;11;14;12;6;9;15;6;5;4;7;19;9;9;7;18;19;8;197;22861;63433;49635;39136;4155;16272;196194
